Key;English;Türkçe;Deutsch;Español;Italiano;Français;Português
PlayText;START GAME;OYUNA BAŞLA;SPIEL STARTEN;INICIAR JUEGO;INIZIA PARTITA;COMMENCER LE JEU;INICIAR JOGO
SettingsText;SETTINGS;AYARLAR;EINSTELLUNGEN;AJUSTES;IMPOSTAZIONI;PARAMÈTRES;DEFINIÇÕES
QuitText;QUIT GAME;OYUNDAN ÇIK;SPIEL BEENDEN;SALIR DEL JUEGO;ESCI DAL GIOCO;QUITTER LE JEU;SAIR DO JOGO
ConfirmText;Confirm;Onayla;Bestätigen;Confirmar;Conferma;Confirmer;Confirmar
PaymentText;Payment Terminal;Ödeme Terminali;Zahlungsterminal;Terminal de pago;Terminale di pagamento;Terminal de paiement;Terminal de Pagamento
CashRegisterText;Cash Register;Yazar Kasa;Kasse;Caja registradora;Registratore di cassa;Caisse enregistreuse;Caixa Registradora
ClearButtonText;Clear;Temizle;Leeren;Limpiar;Cancella;Effacer;Limpar
ThrowText;Throw;At;Werfen;Lanzar;Lancia;Lancer;Lançar
ChooseLanguageText;LANGUAGE SELECTION;DİL SEÇİMİ;SPRACHAUSWAHL;SELECCIÓN DE IDIOMA;SELEZIONE LINGUA;SÉLECTION DE LA LANGUE;SELEÇÃO DE IDIOMA
OpenText;Open;Aç;Öffnen;Abrir;Apri;Ouvrir;Abrir
CloseText;Close;Kapat;Schließen;Cerrar;Chiudi;Fermer;Fechar
PlaceText;Place;Yerleştir;Platzieren;Colocar;Posiziona;Placer;Colocar
TakeText;Take;Al;Nehmen;Tomar;Prendi;Prendre;Pegar
SetPriceText;Set Price;Fiyat Ayarla;Preis festlegen;Establecer precio;Imposta prezzo;Définir le prix;Definir Preço
ReturnText;Return;Geri;Zurück;Volver;Indietro;Retour;Retornar
RotateText;Rotate;Döndür;Drehen;Rotar;Ruota;Rotation;Rotacionar
DialogText;No customers arrive during the night;Gece boyunca hic müşteri gelmez;Nachts kommen keine Kunden;No llegan clientes durante la noche;Nessun cliente arriva durante la notte;Aucun client n'arrive pendant la nuit;Nenhum cliente chega durante a noite
SkipButtonText;Skip To The Next Day;Ertesi Güne Geç;Zum nächsten Tag springen;Saltar al día siguiente;Passa al giorno successivo;Passer au jour suivant;Pular Para O Próximo Dia
